epoc (ms),timestamp (-04:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1572629708935,2019-11-01T13.35.08.935,3.11957609653473,-0.79345703125,-0.31982421875,0.63916015625
1572629709235,2019-11-01T13.35.09.235,3.41954898834229,-0.79150390625,-0.32177734375,0.642578125
1572629709235,2019-11-01T13.35.09.235,3.41954898834229,-0.78955078125,-0.328125,0.6396484375
1572629709235,2019-11-01T13.35.09.235,3.41954898834229,-0.78759765625,-0.333984375,0.6376953125
1572629709415,2019-11-01T13.35.09.415,3.59953498840332,-0.787109375,-0.337890625,0.64013671875
1572629709415,2019-11-01T13.35.09.415,3.59953498840332,-0.7841796875,-0.33984375,0.638671875
1572629709415,2019-11-01T13.35.09.415,3.59953498840332,-0.78662109375,-0.34033203125,0.6376953125
1572629709686,2019-11-01T13.35.09.686,3.8702540397644,-0.7861328125,-0.3388671875,0.63916015625
1572629709686,2019-11-01T13.35.09.686,3.8702540397644,-0.78662109375,-0.33642578125,0.638671875
1572629709686,2019-11-01T13.35.09.686,3.8702540397644,-0.787109375,-0.33349609375,0.638671875
1572629709895,2019-11-01T13.35.09.895,4.07949602603912,-0.78857421875,-0.33154296875,0.6396484375
1572629709895,2019-11-01T13.35.09.895,4.07949602603912,-0.7880859375,-0.32861328125,0.6396484375
1572629709895,2019-11-01T13.35.09.895,4.07949602603912,-0.7880859375,-0.328125,0.6396484375
1572629710375,2019-11-01T13.35.10.375,4.55903208255768,-0.78955078125,-0.33251953125,0.638671875
1572629710375,2019-11-01T13.35.10.375,4.55903208255768,-0.78759765625,-0.3369140625,0.63720703125
1572629710375,2019-11-01T13.35.10.375,4.55903208255768,-0.78515625,-0.34228515625,0.638671875
1572629710376,2019-11-01T13.35.10.376,4.56034004688263,-0.7861328125,-0.34521484375,0.63671875
1572629710376,2019-11-01T13.35.10.376,4.56034004688263,-0.78515625,-0.34375,0.63720703125
1572629710376,2019-11-01T13.35.10.376,4.56034004688263,-0.7822265625,-0.3408203125,0.640625
1572629710585,2019-11-01T13.35.10.585,4.76952004432678,-0.78564453125,-0.3388671875,0.6376953125
1572629710585,2019-11-01T13.35.10.585,4.76952004432678,-0.78662109375,-0.33984375,0.63623046875
1572629710585,2019-11-01T13.35.10.585,4.76952004432678,-0.78466796875,-0.34228515625,0.63818359375
1572629710855,2019-11-01T13.35.10.855,5.03964102268219,-0.783203125,-0.3466796875,0.6357421875
1572629710855,2019-11-01T13.35.10.855,5.03964102268219,-0.78173828125,-0.35302734375,0.63671875
1572629710855,2019-11-01T13.35.10.855,5.03964102268219,-0.77880859375,-0.35986328125,0.6357421875
1572629711066,2019-11-01T13.35.11.066,5.24985301494598,-0.78173828125,-0.35986328125,0.634765625
1572629711066,2019-11-01T13.35.11.066,5.24985301494598,-0.78125,-0.3564453125,0.6376953125
1572629711066,2019-11-01T13.35.11.066,5.24985301494598,-0.77587890625,-0.35693359375,0.63916015625
