epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g),file_num,person,activity
1582744942290,2020-02-26T14.22.22.290,19.448,1.133,0.590,0.060,1,Sabrina,deadlift
1582744942371,2020-02-26T14.22.22.371,19.529,0.154,0.051,-0.006,1,Sabrina,deadlift
1582744942450,2020-02-26T14.22.22.450,19.608,0.602,0.374,-0.096,1,Sabrina,deadlift
1582744942531,2020-02-26T14.22.22.531,19.689,0.797,0.520,0.005,1,Sabrina,deadlift
1582744942610,2020-02-26T14.22.22.610,19.768,0.884,0.599,-0.016,1,Sabrina,deadlift
1582744942769,2020-02-26T14.22.22.769,19.927,0.894,0.479,-0.002,1,Sabrina,deadlift
1582744942848,2020-02-26T14.22.22.848,20.006,0.875,0.492,-0.002,1,Sabrina,deadlift
1582744942929,2020-02-26T14.22.22.929,20.087,0.880,0.496,0.000,1,Sabrina,deadlift
1582744943008,2020-02-26T14.22.23.008,20.166,0.866,0.510,-0.003,1,Sabrina,deadlift
1582744943168,2020-02-26T14.22.23.168,20.326,0.881,0.532,0.000,1,Sabrina,deadlift
1582744943247,2020-02-26T14.22.23.247,20.405,0.843,0.530,0.013,1,Sabrina,deadlift
1582744943407,2020-02-26T14.22.23.407,20.565,0.865,0.528,-0.043,1,Sabrina,deadlift
1582744943566,2020-02-26T14.22.23.566,20.724,0.888,0.532,-0.016,1,Sabrina,deadlift
1582744943645,2020-02-26T14.22.23.645,20.803,0.942,0.569,-0.011,1,Sabrina,deadlift
1582744943726,2020-02-26T14.22.23.726,20.884,1.026,0.576,-0.019,1,Sabrina,deadlift
1582744943805,2020-02-26T14.22.23.805,20.963,1.045,0.508,-0.042,1,Sabrina,deadlift
1582744943965,2020-02-26T14.22.23.965,21.123,1.007,0.524,-0.038,1,Sabrina,deadlift
1582744944045,2020-02-26T14.22.24.045,21.203,0.997,0.489,-0.024,1,Sabrina,deadlift
1582744944124,2020-02-26T14.22.24.124,21.282,1.008,0.394,-0.025,1,Sabrina,deadlift
1582744944363,2020-02-26T14.22.24.363,21.521,0.908,0.382,-0.034,1,Sabrina,deadlift
1582744944444,2020-02-26T14.22.24.444,21.602,0.749,0.191,-0.032,1,Sabrina,deadlift
1582744944523,2020-02-26T14.22.24.523,21.681,0.631,0.053,-0.022,1,Sabrina,deadlift
1582744944602,2020-02-26T14.22.24.602,21.760,0.620,0.317,-0.025,1,Sabrina,deadlift
1582744944682,2020-02-26T14.22.24.682,21.840,0.753,0.622,-0.058,1,Sabrina,deadlift
1582744944762,2020-02-26T14.22.24.762,21.920,0.915,0.523,-0.061,1,Sabrina,deadlift
1582744944842,2020-02-26T14.22.24.842,22.000,1.012,0.299,-0.053,1,Sabrina,deadlift
1582744944921,2020-02-26T14.22.24.921,22.079,0.953,0.352,-0.055,1,Sabrina,deadlift
1582744945002,2020-02-26T14.22.25.002,22.160,0.842,0.400,-0.044,1,Sabrina,deadlift
1582744945081,2020-02-26T14.22.25.081,22.239,0.705,0.349,-0.032,1,Sabrina,deadlift
1582744945160,2020-02-26T14.22.25.160,22.318,0.623,0.216,-0.016,1,Sabrina,deadlift
1582744945241,2020-02-26T14.22.25.241,22.399,0.867,0.114,-0.019,1,Sabrina,deadlift
1582744945320,2020-02-26T14.22.25.320,22.478,1.067,0.121,-0.016,1,Sabrina,deadlift
1582744945400,2020-02-26T14.22.25.400,22.558,1.057,0.288,-0.026,1,Sabrina,deadlift
1582744945479,2020-02-26T14.22.25.479,22.637,1.083,0.449,-0.045,1,Sabrina,deadlift
1582744945558,2020-02-26T14.22.25.558,22.716,0.906,0.568,-0.042,1,Sabrina,deadlift
1582744945639,2020-02-26T14.22.25.639,22.797,0.850,0.505,-0.049,1,Sabrina,deadlift
1582744945718,2020-02-26T14.22.25.718,22.876,0.799,0.294,-0.040,1,Sabrina,deadlift
1582744945799,2020-02-26T14.22.25.799,22.957,0.748,0.248,-0.021,1,Sabrina,deadlift
1582744945878,2020-02-26T14.22.25.878,23.036,0.975,0.453,-0.069,1,Sabrina,deadlift
1582744945958,2020-02-26T14.22.25.958,23.116,0.264,0.134,0.098,1,Sabrina,deadlift
1582744946037,2020-02-26T14.22.26.037,23.195,0.547,0.252,0.020,1,Sabrina,deadlift
1582744946116,2020-02-26T14.22.26.116,23.274,0.692,0.295,-0.070,1,Sabrina,deadlift
1582744946197,2020-02-26T14.22.26.197,23.355,0.606,0.152,-0.008,1,Sabrina,deadlift
1582744946276,2020-02-26T14.22.26.276,23.434,1.000,0.248,0.022,1,Sabrina,deadlift
1582744946357,2020-02-26T14.22.26.357,23.515,1.034,0.271,0.004,1,Sabrina,deadlift
1582744946436,2020-02-26T14.22.26.436,23.594,0.976,0.244,-0.015,1,Sabrina,deadlift
1582744946515,2020-02-26T14.22.26.515,23.673,0.985,0.265,-0.005,1,Sabrina,deadlift
1582744946595,2020-02-26T14.22.26.595,23.753,0.990,0.267,0.012,1,Sabrina,deadlift
1582744946755,2020-02-26T14.22.26.755,23.913,1.006,0.282,0.013,1,Sabrina,deadlift
1582744946834,2020-02-26T14.22.26.834,23.992,0.977,0.297,0.024,1,Sabrina,deadlift
1582744946913,2020-02-26T14.22.26.913,24.071,0.955,0.295,-0.006,1,Sabrina,deadlift
1582744946994,2020-02-26T14.22.26.994,24.152,0.989,0.281,-0.016,1,Sabrina,deadlift
1582744947073,2020-02-26T14.22.27.073,24.231,0.996,0.270,-0.024,1,Sabrina,deadlift
1582744947154,2020-02-26T14.22.27.154,24.312,1.006,0.284,-0.001,1,Sabrina,deadlift
1582744947233,2020-02-26T14.22.27.233,24.391,1.065,0.317,0.013,1,Sabrina,deadlift
1582744947313,2020-02-26T14.22.27.313,24.471,1.172,0.335,0.001,1,Sabrina,deadlift
1582744947392,2020-02-26T14.22.27.392,24.550,1.159,0.298,-0.013,1,Sabrina,deadlift
1582744947471,2020-02-26T14.22.27.471,24.629,1.108,0.232,-0.025,1,Sabrina,deadlift
1582744947552,2020-02-26T14.22.27.552,24.710,1.100,0.243,-0.021,1,Sabrina,deadlift
1582744947631,2020-02-26T14.22.27.631,24.789,1.109,0.237,-0.014,1,Sabrina,deadlift
1582744947712,2020-02-26T14.22.27.712,24.870,1.116,0.182,-0.015,1,Sabrina,deadlift
1582744947791,2020-02-26T14.22.27.791,24.949,1.095,0.139,-0.014,1,Sabrina,deadlift
1582744947870,2020-02-26T14.22.27.870,25.028,1.068,0.181,-0.017,1,Sabrina,deadlift
1582744947950,2020-02-26T14.22.27.950,25.108,0.971,0.163,-0.018,1,Sabrina,deadlift
1582744948030,2020-02-26T14.22.28.030,25.188,0.782,0.059,-0.021,1,Sabrina,deadlift
1582744948110,2020-02-26T14.22.28.110,25.268,0.654,-0.034,-0.018,1,Sabrina,deadlift
1582744948189,2020-02-26T14.22.28.189,25.347,0.691,0.161,-0.009,1,Sabrina,deadlift
1582744948268,2020-02-26T14.22.28.268,25.426,0.887,0.428,-0.035,1,Sabrina,deadlift
1582744948349,2020-02-26T14.22.28.349,25.507,1.004,0.332,-0.030,1,Sabrina,deadlift
1582744948428,2020-02-26T14.22.28.428,25.586,0.975,0.136,-0.009,1,Sabrina,deadlift
1582744948509,2020-02-26T14.22.28.509,25.667,0.842,0.174,-0.005,1,Sabrina,deadlift
1582744948588,2020-02-26T14.22.28.588,25.746,0.724,0.120,-0.006,1,Sabrina,deadlift
1582744948668,2020-02-26T14.22.28.668,25.826,0.719,-0.002,-0.010,1,Sabrina,deadlift
1582744948747,2020-02-26T14.22.28.747,25.905,0.901,-0.040,-0.014,1,Sabrina,deadlift
1582744948826,2020-02-26T14.22.28.826,25.984,1.078,0.050,-0.008,1,Sabrina,deadlift
1582744948907,2020-02-26T14.22.28.907,26.065,1.194,0.169,-0.011,1,Sabrina,deadlift
1582744948986,2020-02-26T14.22.28.986,26.144,1.115,0.336,-0.021,1,Sabrina,deadlift
1582744949067,2020-02-26T14.22.29.067,26.225,1.059,0.328,-0.024,1,Sabrina,deadlift
1582744949146,2020-02-26T14.22.29.146,26.304,0.886,0.142,-0.012,1,Sabrina,deadlift
1582744949225,2020-02-26T14.22.29.225,26.383,0.713,-0.015,0.006,1,Sabrina,deadlift
1582744949305,2020-02-26T14.22.29.305,26.463,1.097,0.250,0.110,1,Sabrina,deadlift
1582744949385,2020-02-26T14.22.29.385,26.543,0.133,0.001,0.030,1,Sabrina,deadlift
1582744949465,2020-02-26T14.22.29.465,26.623,0.475,-0.147,-0.062,1,Sabrina,deadlift
1582744949544,2020-02-26T14.22.29.544,26.702,1.210,0.306,0.020,1,Sabrina,deadlift
1582744949623,2020-02-26T14.22.29.623,26.781,0.907,0.232,0.037,1,Sabrina,deadlift
1582744949704,2020-02-26T14.22.29.704,26.862,1.056,0.173,0.001,1,Sabrina,deadlift
1582744949783,2020-02-26T14.22.29.783,26.941,1.016,0.165,0.025,1,Sabrina,deadlift
1582744949864,2020-02-26T14.22.29.864,27.022,1.005,0.188,-0.022,1,Sabrina,deadlift
1582744949943,2020-02-26T14.22.29.943,27.101,1.010,0.194,-0.008,1,Sabrina,deadlift
1582744950023,2020-02-26T14.22.30.023,27.181,1.016,0.174,0.012,1,Sabrina,deadlift
1582744950181,2020-02-26T14.22.30.181,27.339,1.026,0.151,0.010,1,Sabrina,deadlift
1582744950262,2020-02-26T14.22.30.262,27.420,1.033,0.168,0.026,1,Sabrina,deadlift
1582744950341,2020-02-26T14.22.30.341,27.499,0.996,0.154,0.012,1,Sabrina,deadlift
1582744950422,2020-02-26T14.22.30.422,27.580,1.021,0.145,0.007,1,Sabrina,deadlift
